Date,Station identifier,Station number,Observation time,Station latitude,Station longitude,Station elevation,Showalter index,Lifted index,LIFT computed using virtual temperature,SWEAT index,K index,Cross totals index,Vertical totals index,Totals totals index,Convective Available Potential Energy,CAPE using virtual temperature,Convective Inhibition,CINS using virtual temperature,Bulk Richardson Number,Bulk Richardson Number using CAPV,Temp [K] of the Lifted Condensation Level,Pres [hPa] of the Lifted Condensation Level,Mean mixed layer potential temperature,Mean mixed layer mixing ratio,1000 hPa to 500 hPa thickness,Precipitable water [mm] for entire sounding
 00Z 01 Jan 1996, VGTJ, 41923, 960101/0000, 23.76, 90.37, 9.0, 13.90, 8.33, 8.18, 65.99, 6.10, 3.90, 21.90, 25.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.59, 883.57, 292.78, 8.50, 5619.00, 20.50
 00Z 03 Jan 1996, VGTJ, 41923, 960103/0000, 23.76, 90.37, 9.0, 12.81, 9.58, 9.36, 38.00, 8.10, 3.10, 24.10, 27.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 278.28, 832.78, 293.25, 6.82, 5638.00, 16.62
 00Z 05 Jan 1996, VGTJ, 41923, 960105/0000, 23.76, 90.37, 9.0, 9.45, 7.47, 7.23, 124.18, -3.10, 14.30, 20.30, 34.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 284.11, 917.90, 291.17, 9.06, 5623.00, 19.73
 00Z 06 Jan 1996, VGTJ, 41923, 960106/0000, 23.76, 90.37, 9.0, 8.05, 6.45, 6.38, 100.59, -15.90, 16.30, 21.30, 37.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 284.22, 931.01, 290.11, 8.98, 5623.00, 20.21
 00Z 07 Jan 1996, VGTJ, 41923, 960107/0000, 23.76, 90.37, 9.0, 13.64, 6.55, 6.26, 49.01, -28.50, 6.10, 21.10, 27.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.11, 927.72, 291.32, 9.58, 5633.00, 15.81
 00Z 08 Jan 1996, VGTJ, 41923, 960108/0000, 23.76, 90.37, 9.0, 13.00, 7.82, 7.56, 38.00, -21.70, 6.70, 21.70, 28.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.28, 889.02, 291.96, 8.26, 5636.00, 14.57
 00Z 09 Jan 1996, VGTJ, 41923, 960109/0000, 23.76, 90.37, 9.0, 9.48, 7.34, 7.08, 77.39, 14.10, 21.10, 35.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.05, 888.37, 291.78, 8.16, 5633.00, 11.31
 00Z 11 Jan 1996, VGTJ, 41923, 960111/0000, 23.76, 90.37, 9.0, 6.04, 7.15, 7.22, 108.42, 15.70, 16.50, 25.50, 42.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 276.36, 819.58, 292.55, 6.00, 5605.00, 20.24
 00Z 12 Jan 1996, VGTJ, 41923, 960112/0000, 23.76, 90.37, 9.0, 5.10, 4.06, 3.81, 155.03, -0.90, 18.10, 24.10, 42.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 284.36, 909.70, 292.18, 9.29, 5622.00, 20.83
 00Z 13 Jan 1996, VGTJ, 41923, 960113/0000, 23.76, 90.37, 9.0, 11.64, 9.13, 9.07, 88.00, -2.30, 10.30, 21.30, 31.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 279.75, 865.32, 291.59, 7.14, 5651.00, 17.42
 00Z 14 Jan 1996, VGTJ, 41923, 960114/0000, 23.76, 90.37, 9.0, 17.28, 14.49, 14.34, 111.01, -7.90, -1.90, 20.10, 18.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 274.70, 816.44, 291.11, 5.34, 5631.00, 12.10
 00Z 15 Jan 1996, VGTJ, 41923, 960115/0000, 23.76, 90.37, 9.0, 12.08, 12.45, 12.32, 81.00, 3.70, 9.70, 20.70, 30.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 277.18, 843.23, 291.05, 6.14, 5644.00, 16.64
 00Z 16 Jan 1996, VGTJ, 41923, 960116/0000, 23.76, 90.37, 9.0, 2.45, 8.52, 8.28, 252.72, 28.70, 19.70, 24.70, 44.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 280.30, 852.92, 293.37, 7.54, 5657.00, 28.88
 00Z 17 Jan 1996, VGTJ, 41923, 960117/0000, 23.76, 90.37, 9.0, 5.05, 6.75, 6.50, 157.79, 25.60, 16.10, 25.10, 41.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 285.28, 934.24, 290.91, 9.61, 5644.00, 29.12
 00Z 18 Jan 1996, VGTJ, 41923, 960118/0000, 23.76, 90.37, 9.0, 8.09, 11.69, 11.50, 200.00, 15.90, 20.70, 36.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 280.46, 899.38, 289.12, 7.26, 5642.00, 10.34
 00Z 19 Jan 1996, VGTJ, 41923, 960119/0000, 23.76, 90.37, 9.0, 9.35, 15.33, 15.25, 186.81, -22.30, 15.70, 19.30, 35.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 276.20, 868.32, 287.60, 5.61, 5624.00, 13.82
 00Z 20 Jan 1996, VGTJ, 41923, 960120/0000, 23.76, 90.37, 9.0, 14.65, 14.08, 13.90, 111.39, -2.90, 8.90, 16.90, 25.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 280.03, 893.17, 289.24, 7.03, 5636.00, 17.20
 00Z 21 Jan 1996, VGTJ, 41923, 960121/0000, 23.76, 90.37, 9.0, 20.45, 14.67, 14.52, 104.99, -44.70, -16.30, 19.70, 3.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 279.57, 896.74, 288.44, 6.80, 5629.00, 9.21
 00Z 22 Jan 1996, VGTJ, 41923, 960122/0000, 23.76, 90.37, 9.0, 14.25, 12.95, 12.89, 96.99, -21.90, 6.30, 20.30, 26.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 277.89, 872.68, 288.94, 6.22, 5634.00, 12.62
 00Z 23 Jan 1996, VGTJ, 41923, 960123/0000, 23.76, 90.37, 9.0, 14.44, 13.19, 13.03, 69.99, -12.90, 1.50, 22.50, 24.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 279.61, 888.76, 289.22, 6.89, 5652.00, 12.86
 00Z 24 Jan 1996, VGTJ, 41923, 960124/0000, 23.76, 90.37, 9.0, 10.00, 10.56, 10.35, 155.40, -7.90, 12.90, 20.90, 33.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 280.45, 881.96, 290.73, 7.34, 5650.00, 16.43
 00Z 25 Jan 1996, VGTJ, 41923, 960125/0000, 23.76, 90.37, 9.0, 18.51, 16.44, 16.36, 111.99, -17.10, -5.30, 19.70, 14.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 275.64, 837.17, 290.03, 5.63, 5663.00, 11.11
 00Z 26 Jan 1996, VGTJ, 41923, 960126/0000, 23.76, 90.37, 9.0, 17.75, 15.66, 15.53, 103.98, -0.70, 3.30, 16.30, 19.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 277.08, 838.87, 291.37, 6.13, 5658.00, 17.69
 00Z 27 Jan 1996, VGTJ, 41923, 960127/0000, 23.76, 90.37, 9.0, 18.61, 16.42, 16.22, 65.02, 2.90, 14.90, 17.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 280.72, 898.67, 289.45, 7.34, 5690.00, 10.41
 00Z 28 Jan 1996, VGTJ, 41923, 960128/0000, 23.76, 90.37, 9.0, 16.84, 13.61, 13.35, 40.99, -23.90, 3.70, 16.70, 20.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 283.96, 924.69, 290.41, 8.90, 5716.00, 17.09
 00Z 29 Jan 1996, VGTJ, 41923, 960129/0000, 23.76, 90.37, 9.0, 19.56, 17.18, 17.19, 69.99, -28.50, -8.50, 19.50, 11.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 277.67, 846.26, 291.26, 6.32, 5708.00, 13.22
 00Z 30 Jan 1996, VGTJ, 41923, 960130/0000, 23.76, 90.37, 9.0, 14.35, 14.21, 23.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 274.39, 824.03, 290.02, 5.20, 5668.00, 4.18
 00Z 31 Jan 1996, VGTJ, 41923, 960131/0000, 23.76, 90.37, 9.0, 17.24, 51.98, -24.30, 24.70, 0.40, 0.00, 0.00, 5659.00, 5659.00, VGTJ, 41923, 170131/0000, 23.76, 90.38, 9.0, 13.18, 9.47, 9.29, 88.01, -0.90, 2.70, 23.70, 26.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 282.47, 904.08, 290.74, 8.23, 5666.00, 17.01